Size Idx Append Polo PoloAppend
5730000 14670299 28712257 376622237 404129519
5740000 14527587 28759095 420173200 446126767
5750000 15277418 29861964 407948078 401473273
5760000 15079755 28284316 392323576 429797704
5770000 14949737 29343844 411337875 427294686
5780000 14835417 29206945 417161057 462764141
5790000 15158732 28779364 412372704 409500225
5800000 15003980 29160085 427467319 413341535
5810000 15102928 28591391 409483465 440623351
5820000 14929269 29109594 398643044 420765497
5830000 15563577 30731835 417306106 429198787
5840000 15632828 29155992 425283840 415723090
5850000 14834243 29624214 384707743 416964357
5860000 15315338 29921023 426596762 393277291
5870000 15476325 29903380 429548320 393875105
5880000 15545826 28788212 435061525 458395989
5890000 15194556 30356462 397179373 405677304
5900000 15161818 29323398 393609503 465902396
5910000 15306582 30157309 411441115 442206214
5920000 15412165 29387621 434671989 405978031
5930000 15444307 29993142 391894145 406503317
5940000 15176865 29475489 390301818 417916543
5950000 15332451 29884570 394322754 434794780
5960000 15236495 30624886 430177239 404087413
5970000 15780759 30513264 399282702 417115455
5980000 15817394 30857393 400429818 452479571
5990000 15443442 30352548 425194004 428179639
6000000 15583366 30352072 416145490 419295358
6010000 15634911 29284290 465998986 483376424
6020000 15424141 30218487 413461134 457610457
6030000 15848326 30553643 450932238 429582000
6040000 15483971 29709996 424786691 430136666
6050000 15684829 30204774 444720396 462022224
6060000 15584325 30768933 440227738 420327488
6070000 15389975 30814790 465870949 439815341
6080000 15604890 30948512 439698449 435600575
6090000 15912075 31713632 450976903 431657419
6100000 15519490 30459100 471953320 420025286
6110000 15883821 31093810 470896970 455494585
6120000 15932158 31423602 452322272 417709130
6130000 15863196 30794381 410263043 451919204
6140000 15900347 31180613 415262045 452657676
6150000 15945619 31162037 414006823 429387959
6160000 17364434 31975379 420756783 436471105
6170000 15966581 30923489 420515632 433575272
6180000 15855453 30166173 401155105 438110685
6190000 16230299 31130226 444930451 413132984
6200000 16053087 30576045 435201326 426953837
6210000 15866924 30206290 415016655 430043497
6220000 16168341 31252388 451485704 465480654
6230000 16296133 31186031 417646842 482715846
6240000 16276230 31288045 435822714 446305420
6250000 16032803 32484593 446671482 476449290
6260000 16024588 31514908 444683850 437606995
6270000 16204037 31875707 415164212 449920271
6280000 16029403 32230830 459725314 467705490
6290000 16763371 31688936 478724845 492036359
6300000 16258125 31008062 427264949 424933509
6310000 16751971 31531546 413765797 451600453
6320000 16441105 32204440 450802168 459778513
6330000 16757844 31690601 452948484 505191519
6340000 16587770 32488730 431371131 451308658
6350000 16387431 31802640 428491113 448966722
6360000 17476899 32754198 439222518 504909517
6370000 16126721 30967618 443069029 445479931
6380000 17553441 32091690 407584045 509800920
6390000 16347873 32027059 429622235 459416046
6400000 16539804 31874158 464013774 441505484
6410000 16370726 32344620 492311809 463272621
6420000 16471803 32031818 492593295 454340618
6430000 16394393 31968750 437425501 510175897
6440000 16956546 31942896 426233083 451942649
6450000 16904776 33656514 461544510 461877681
6460000 16795633 32447000 467202153 468822198
6470000 16856577 31601257 446507145 488349355
6480000 17286447 33482550 428027643 491154663
6490000 16738055 32200996 433434965 515848414
6500000 16593580 32291939 447878775 521707475
6510000 16968013 32591896 445946634 518800550
6520000 16749866 32527887 474009899 522710940
6530000 17127920 33665715 447020249 464109625
6540000 17034580 31959252 464592451 464452388
6550000 17063947 32526260 435175997 479675561
6560000 17142380 32874670 433221403 649884608
6570000 17032999 33855900 436681359 490258828
6580000 18364144 33234381 471330902 509154223
6590000 17516401 33927827 448109452 489592934
6600000 17138922 33619956 475270675 474336552
6610000 17195006 34162890 443317537 530650444
6620000 16921726 33505095 496419097 517112254
6630000 17060601 33605590 434845660 674358998
6640000 17336718 33227448 476965107 492103331
6650000 16999961 33683549 436435391 455518112
6660000 16984981 33826451 444947276 483259685
6670000 17403007 33438767 482028265 461190430
6680000 16775130 33726646 515233790 524488135
6690000 17099636 33552824 497172452 491891672
6700000 17082281 33399698 456800922 473390540
6710000 17251925 35350599 443119244 487631630
6720000 17642379 34053946 458178444 475564529
6730000 17348251 33968267 451875351 485692174
6740000 17931081 35008518 438490256 533901234
6750000 17760083 38122505 441706855 465322979
6760000 17365628 34510231 458763640 504578725
6770000 17302838 33350542 472303276 461362953
6780000 17425581 34093010 451251148 476176934
6790000 17292118 34479313 452567349 454753530
6800000 17721746 33518913 488876247 544548522
6810000 17357149 33713031 469496370 480182757
6820000 17218671 33812687 1787941734 536278681
6830000 17764932 34454531 2146724113 536741906
6840000 17319226 34121618 1773022111 627198841
6850000 17808274 33986288 2210156366 620122777
6860000 17511452 33436035 2176083974 523562747
6870000 17567828 33791439 1621005556 630116940
6880000 17253060 34800412 1650942163 629076941
6890000 18340138 33790854 2090794186 573811249
6900000 17664899 34348404 2139841821 632223586
6910000 17978869 34028984 2157794346 546992371
6920000 17789353 33569416 2157151908 529915043
6930000 17894178 35931068 1744886541 634265229
6940000 17795207 34759390 1741585200 529173118
6950000 17501957 36745396 1703835101 525836355
6960000 17772289 34285859 2208064609 535434049
6970000 17840049 34330341 2201228317 523143495
6980000 17635995 34671992 1678846883 638637512
6990000 18099547 34629093 1964555902 553039987
