Size IntIdx IntAppend PoloIdx PoloAppend
5370000 155236099 176208539 367812185 365771529
5380000 171152313 184753804 392569561 429821880
5390000 166490057 163585996 375387399 391753121
5400000 154574325 189843266 379894000 380289358
5410000 157527428 177003716 417984706 401384037
5420000 161082752 179463775 399295063 416647816
5430000 148065667 188274075 401475727 389560448
5440000 160712334 190138397 379710413 418566349
5450000 157975099 182407249 408797126 398138076
5460000 158152465 191478864 371270835 428943966
5470000 179782351 164486549 377809355 423553335
5480000 150942638 176929349 390572831 389597548
5490000 154314532 175343124 404904221 387564311
5500000 157515535 197813586 388741479 400258040
5510000 161190920 186031695 405958857 418922738
5520000 160400611 178442499 369216846 426490840
5530000 161041745 175464424 413790741 411948864
5540000 160052407 191621922 413528692 407523520
5550000 152922310 158759573 429703940 393723014
5560000 158790586 187895103 389922682 402690857
5570000 168484230 188699632 427584986 400234305
5580000 136950271 174583952 410246457 398283034
5590000 155220758 177652220 392055045 435106804
5600000 166599050 189341340 390432775 387276677
5610000 157551973 191010630 426714394 433582462
5620000 179839141 183304209 423155407 426497323
5630000 165634441 182656988 396836392 429174023
5640000 163704144 174110414 401483562 402342589
5650000 171281711 165620848 405488697 390331771
5660000 160049583 181939533 408137934 414525575
5670000 175421727 190509602 389017781 413778110
5680000 177435408 187945788 397787432 435957682
5690000 182263221 179390358 408255760 421609803
5700000 163004827 178193232 425468979 421515323
5710000 163099523 193423098 406744906 431767200
5720000 167311464 185923515 420682408 430353652
5730000 159155329 187533276 427988532 426442883
5740000 180902870 190629877 403959005 432993541
5750000 155882964 183479430 412732051 440440938
5760000 164224235 180750640 409898893 395558515
5770000 172194110 204760174 415918603 438386326
5780000 171747254 186523592 408472416 418655223
5790000 165726644 181465068 420763033 405480789
5800000 166738012 203368766 430204049 421979978
5810000 194972097 191785157 429760736 443785908
5820000 176830259 181769972 426668058 409280277
5830000 182449309 180678976 427544584 413853916
5840000 183164744 188299173 413191990 458163737
5850000 168370749 197664414 416981672 461931348
5860000 170022003 190219892 398028251 444602233
5870000 161324294 204120947 421084969 435847202
5880000 151714951 196735137 427859695 445513411
5890000 170116299 193287165 423596593 440643654
5900000 167924840 186032536 406195467 442573432
5910000 161696108 194876719 426502654 451162622
5920000 189405715 200258543 409015049 465242443
5930000 183456461 188536110 429511517 415361669
5940000 158408827 206062356 444309235 437829576
5950000 167305675 205960889 462733502 448188005
5960000 157358178 204914159 422457164 451707011
5970000 181412258 189909879 452466270 451251113
5980000 184963861 199147323 410811903 429147035
5990000 192085845 189666228 460734289 463371148
6000000 186128531 187837552 412724075 419090002
6010000 191867614 187413081 445108398 432885484
6020000 189200567 197577575 444686269 442439598
6030000 178663707 208295905 448346489 454924168
6040000 193795015 204193864 461527948 433859079
6050000 189754166 182032911 444349040 437629014
6060000 162403557 194347411 433462447 423463805
6070000 190482947 197945939 450706329 471817216
6080000 156018263 188897420 472436676 440645310
6090000 176167230 190283227 445565937 443979463
6100000 170648267 213734897 442337733 460511190
6110000 186765141 195471995 454943367 462591002
6120000 196584011 200020365 446314874 430944721
6130000 194689234 212400490 458696161 432872524
6140000 191851059 218757779 451406370 450997584
6150000 186679043 214946592 429290951 456961808
6160000 204311788 191553602 429101015 435226292
6170000 173016101 215981653 445582334 452698098
6180000 192313323 225007658 445268736 454354660
6190000 194548128 220208534 457385686 479245288
6200000 150983100 210612165 455513705 448024327
6210000 192802254 213651601 460779197 472247184
6220000 165614135 194069800 481079285 467055063
6230000 175497589 190609663 480736141 473222497
